"﻿SIGLA";"NOMBRE PROYECTO";"TIPO INNOVACION";"año";"conv";"SEMESTRE";"FRENTE";"multi";"CODIGO CURSO";"CURSO";"PROG CURSO";"DEPTO CURSO";"FAC CURSO";"CRN";"SECC";"PERIOD";"SUB PER";"FASE ACOMPAÑAMIENTO PED";"NOMBRE PROFESOR";"CORREO PROFESOR";
"CTE-4";"Proyecto Cte-5";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201810";"1IP";"";"COD6";"Curso3";"MICROBIOLOGIA";"CIENCIAS BIOLOGICAS";"CIENCIAS";"CRN-18113";"5";"201810";"1";"IMPLEMENTACION";"Nombre profesor2";"Login profesor1";
"CTE-4";"Proyecto Cte-5";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201820";"1IP";"";"COD6";"Curso3";"MICROBIOLOGIA";"CIENCIAS BIOLOGICAS";"CIENCIAS";"CRN-18550";"5";"201820";"1";"IMPLEMENTACION";"Nombre profesor2";"Login profesor1";
"CTE-16";"Proyecto Cte-17";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201810";"1IP";"";"COD18";"Curso15";"INGENIERIA GENERAL";"INGENIERIA GENERAL";"INGENIERIA";"CRN-17922";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor14";"Login profesor13";
"CTE-16";"Proyecto Cte-17";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201810";"1IP";"";"COD18";"Curso15";"INGENIERIA GENERAL";"INGENIERIA GENERAL";"INGENIERIA";"CRN-18134";"1";"201819";"1";"IMPLEMENTACION";"Nombre profesor14";"Login profesor13";
"CTE-37";"Proyecto Cte-38";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201820";"1IP";"";"COD39";"Curso36";"ING.  ELECTRICA Y ELECTRONICA";"INGEN. ELECTRICA Y ELECTRONICA";"INGENIERIA";"CRN-18256";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor35";"Login profesor34";
"CTE-65";"Proyecto Cte-66";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201810";"1IP";"";"COD67";"Curso64";"DERECHO";"DERECHO";"DERECHO";"CRN-17904";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor63";"Login profesor62";
"CTE-65";"Proyecto Cte-66";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201820";"1IP";"";"COD67";"Curso64";"DERECHO";"DERECHO";"DERECHO";"CRN-18238";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor63";"Login profesor62";
"CTE-120";"Proyecto Cte-121";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201810";"1IP";"";"COD122";"Curso119";"MEDICINA";"MEDICINA";"MEDICINA";"CRN-18116";"1";"201810";"3";"IMPLEMENTACION";"Nombre profesor118";"Login profesor117";
"CTE-120";"Proyecto Cte-121";"INNOVACION EN CURSO PRESENCIALES";"2018";"2013";"201820";"1IP";"";"COD122";"Curso119";"MEDICINA";"MEDICINA";"MEDICINA";"CRN-18553";"1";"201820";"3";"IMPLEMENTACION";"Nombre profesor118";"Login profesor117";
"CTE-146";"Proyecto Cte-16868";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD148";"Curso145";"INGENIERIA DE SISTEMAS";"INGENIERIA DE SISTEMAS Y COMPU";"INGENIERIA";"CRN-17931";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor16867";"Login profesor143";
